Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,32.2378,32.2378,31.5084,32.2378,24864.21428566
2022-01-04,32.2378,32.2378,31.5571,31.8001,13117.981043927
2022-01-05,31.8001,31.8001,31.0222,31.2166,9054.1524725076
2022-01-07,31.2166,31.2166,30.7304,30.8277,17589.015109852
2022-01-10,31.2654,31.6056,30.5846,31.0709,14065.042307661
2022-01-11,31.4111,31.7029,30.8764,31.2654,8506.0703296516
2022-01-12,31.3139,31.6543,31.1681,31.5084,13343.178021948
2022-01-13,31.2166,31.6543,30.8277,31.1194,47590.59972517
2022-01-14,31.3139,31.3139,30.4387,31.0709,17657.910988972
2022-01-17,30.8277,31.8001,30.4874,31.7029,26643.167582359
2022-01-18,31.7029,32.8213,31.3626,32.6753,46565.387911986
2022-01-19,32.5781,32.5781,30.8277,30.9249,27310.532142797
2022-01-20,31.2654,31.3626,30.3414,30.9249,25063.703846099
2022-01-21,30.3414,30.3902,29.612,30.001,24553.668681264
2022-01-24,29.9524,30.4874,27.7158,27.8616,80891.98846136
2022-01-25,27.813,28.6883,27.2781,27.813,38091.194780136
2022-01-26,27.813,28.2993,27.813,28.0075,24006.614835112
2022-01-27,27.9103,28.6395,27.2296,27.9103,66463.957417437
2022-01-28,28.2506,28.591,27.7158,28.1533,37998.64807684
2022-01-31,28.2506,28.98,28.202,28.202,13709.251648322
2022-02-01,28.3965,28.7855,28.202,28.202,9785.2714285499
2022-02-02,28.202,28.6883,28.1048,28.445,12401.258241731
2022-02-03,28.2993,28.6395,26.5489,27.1808,38389.400824092
2022-02-04,27.5213,28.1533,27.2296,27.6186,13871.722527442
2022-02-07,28.3478,28.3478,26.5974,27.2296,28837.55274719
2022-02-08,27.1323,27.6186,26.5974,26.8406,15873.816208756
2022-02-09,26.8891,27.5698,26.8406,27.2296,19111.92252743
2022-02-10,27.3268,27.3753,26.9378,27.3268,13046.000274696
2022-02-11,27.2296,27.2781,26.7919,26.9378,9526.1406593197
2022-02-14,26.2569,26.4516,25.2845,25.9652,38405.853571344
2022-02-15,25.6734,26.7919,25.6734,26.5974,21269.289010943
2022-02-16,26.5974,27.0351,26.5001,26.5974,13776.090934035
2022-02-17,26.9378,26.9378,25.3332,25.3817,15309.281318647
2022-02-18,26.0139,26.0624,25.2845,25.479,13726.732692277
2022-02-21,25.3817,25.6249,23.68,24.312,46960.25384605
2022-02-22,24.069,25.2359,23.8745,24.847,29325.993681254
2022-02-23,24.847,25.3817,23.8258,23.923,27765.039285653
2022-02-24,21.8809,23.3395,20.0817,20.9084,81337.240933887
2022-02-25,21.8809,22.6588,21.2001,22.4156,35150.266208714
2022-02-28,22.7076,24.1175,21.4919,22.7561,24872.440659286
2022-03-01,22.6588,23.3395,22.3671,22.7561,19136.60164831
2022-03-02,22.8533,23.534,21.8809,23.534,34204.233241683
2022-03-03,23.3395,24.1662,22.6588,24.1662,25049.307692253
2022-03-04,23.3395,23.7285,21.9781,22.3184,25003.034340605
2022-03-07,21.9781,21.9781,20.1304,21.5891,82412.839285533
2022-03-08,21.3946,21.8809,20.8597,21.2487,77830.749175653
2022-03-09,21.2974,22.5616,21.2974,22.5129,59925.018681186
2022-03-10,22.7076,23.4368,21.9294,22.2211,78030.238736092
2022-03-11,22.3184,23.534,22.2698,23.534,43608.00659331
2022-03-14,23.3883,24.2635,22.902,24.2148,23478.070329619
2022-03-15,24.1175,24.312,22.9993,24.1175,32657.674999928
2022-03-16,24.4092,26.0139,24.3607,25.1387,42270.192582324
2022-03-17,25.3332,25.7707,24.6037,24.7497,70757.096153691
2022-03-18,24.701,25.5762,24.701,25.5277,15747.335714251
2022-03-21,25.5277,25.6734,24.9927,25.3817,33589.311813113
2022-03-22,25.3817,26.2569,25.2845,25.7707,12902.038736235
2022-03-23,26.1597,26.5974,25.7707,26.5974,18228.6156593
2022-03-24,26.6461,27.1323,26.1111,26.6946,15343.215109856
2022-03-25,26.7919,26.8406,26.1111,26.2569,6859.7673076772
2022-03-28,26.1597,26.4516,25.3817,25.5277,7380.0854395442
2022-03-29,25.6734,26.4516,25.2845,25.2845,15454.271153812
2022-03-30,25.5277,26.3056,25.5277,26.0624,8868.0307692113
2022-03-31,26.2569,26.4516,25.4304,25.7707,7085.992582402
2022-04-01,25.7222,25.8679,25.2845,25.5277,4153.2903846062
2022-04-04,25.7707,26.5489,25.6249,25.8194,21058.488186767
2022-04-05,25.9652,26.4029,25.5762,25.6249,12127.731318655
2022-04-06,25.7707,25.7707,24.458,24.6525,62040.224999864
2022-04-07,24.6525,26.2569,24.458,26.2569,36430.495604315
2022-04-08,26.2569,26.3543,24.701,24.701,22723.3005494
2022-04-11,25.1387,25.1387,24.0203,24.5552,24503.282142803
2022-04-12,24.9442,24.9927,24.312,24.312,6641.7684065788
2022-04-13,24.6525,24.6525,24.312,24.5065,10604.823901076
2022-04-14,24.5065,24.701,24.312,24.4092,2655.0620879062
2022-04-19,24.4092,24.9927,23.7773,23.9717,11231.056593382
2022-04-20,23.9717,24.1175,23.4368,23.923,7692.6876373457
2022-04-21,24.847,24.9442,24.1175,24.1175,14301.550549419
2022-04-22,24.312,24.847,23.4368,23.6313,13123.122527444
2022-04-25,24.069,24.069,22.6588,23.1451,14839.349725242
2022-04-26,22.902,23.2423,22.3671,22.3671,4900.8620879013
2022-04-27,22.3671,22.6588,21.8809,22.5129,9533.3387362428
2022-04-28,22.0754,22.6588,21.9781,22.0266,5372.8502747135
2022-04-29,22.2211,22.3671,21.4432,21.4919,10241.835164813
2022-05-02,21.4432,22.0266,21.4432,21.4919,1529.0771977988
2022-05-04,21.4919,21.9781,21.1514,21.6864,5101.3799450437
2022-05-05,22.0754,22.1239,21.2974,21.3946,5359.4824175706
2022-05-06,21.4919,22.0754,20.4222,22.0754,12194.570604369
2022-05-09,22.0754,22.1726,21.3946,21.3946,5025.2859889999
2022-05-10,21.3946,21.9781,20.8597,21.1514,24874.497252693
2022-05-11,21.3946,21.7836,20.9084,21.5891,7083.9359889954
2022-05-12,21.2974,21.5891,20.6652,20.9084,93357.001098696
2022-05-13,21.3946,21.3946,19.547,19.8872,63715.32032953
2022-05-16,19.936,20.0817,19.1385,19.2552,26383.008516425
2022-05-17,19.0802,19.6442,18.691,18.9051,28884.854395541
2022-05-18,18.8662,19.547,18.6716,18.6716,25262.165109834
2022-05-19,18.6716,18.9246,17.6019,17.9325,32548.675549379
2022-05-20,17.7963,18.2242,17.5824,17.5824,37353.906043873
2022-05-23,17.8936,18.1853,17.4657,17.7963,45223.460714186
2022-05-24,17.8936,18.4187,17.3101,17.4463,46453.303571327
